id,project_group,group_color_key,title,phase,start_date,end_date,status,summary,objective,scope,deliverables,dependencies,risks,owner,remarks,order_no
M1,上架,listing,上架流程与后台信息上架梳理完成,基础建设阶段,2026-03-01,2026-03-25,已完成,完成后台信息上架链路梳理与问题识别，明确本项目的核心业务边界。,明确当前新品上架流程中后台信息上架的真实路径、参与角色、痛点与系统边界，为后续数据建模和系统建设提供业务基础。,后台信息上架流程梳理|参与角色与职责梳理|现状痛点识别|业务边界确认|上架输入输出节点梳理,后台信息上架流程图|角色分工说明|问题清单|项目边界说明,,流程仍可能继续变化|不同团队口径不一致|现有操作存在隐性步骤未被识别,产品+业务,作为项目启动阶段的前置成果，已完成。,1
M2,上架,listing,数据建模与字段治理体系完成,基础建设阶段,2026-03-10,2026-04-05,已完成,完成上架场景的数据模型、字段标准与输出映射设计。,建立可支撑上架场景的数据标准体系，使字段能够统一管理来源、去向、层级、审核方式和输出结构。,商品数据语义整理|SSOT字段体系设计|输出映射设计|对象结构设计|option体系设计|输出结构设计,ssot_fields定义表|output_mapping映射表|object_schema对象结构说明|option_definition配置说明|output_layout输出结构文档,M1,字段定义反复调整|来源表单不稳定|历史字段命名不统一,产品+数据,该里程碑为后续前后端和AI工作流的基础。,2
M3,上架,listing,后端数据清洗系统主链路搭建完成,基础建设阶段,2026-03-20,2026-04-10,已完成,完成输入到输出的后端清洗主链路骨架搭建。,搭建可运行的数据处理主链路，实现原始输入到标准化、规则推导、结构生成和输出表生成的基本能力。,raw_data_loader搭建|engine字段解析|rule_engine规则执行|schema_manager结构生成|export_generator输出生成|validation_report基础能力|field_trace基础能力,后端处理链路代码框架|基础可运行样例|输出表样例|校验结果样例|trace结果样例,M2,真实样本覆盖不全|规则复杂度持续上升|字段trace粒度仍需细化,产品+开发,当前已完成系统骨架，后续需要持续补充真实业务规则。,3
M4,上架,listing,前后端契约与系统方案收敛,系统承接阶段,2026-04-14,2026-05-15,进行中,统一前端任务模型、页面结构与后端接口契约，形成可开发的系统方案。,在已有数据模型和后端能力基础上，完成面向前端工作台的任务对象、页面结构、接口字段和交互逻辑收敛，减少后续反复返工。,任务模型定义|页面结构收敛|前后端接口字段对齐|真实样本校对|工作台任务流设计|详情页编辑流设计|导出与规则页数据契约设计,前后端接口文档|页面信息架构说明|任务对象定义|真实样本映射说明|联调约定文档,M2|M3,前端仍沿用旧任务假设|真实CSV样本与现有mock差异大|接口字段仍可能调整,产品+前端+后端,这是从底层能力转向系统承接的关键阶段。,4
M5,上架,listing,前端工作台与审核闭环建设,系统承接阶段,2026-05-16,2026-06-30,待启动,建设运营可用的工作台、详情页、导出预览和规则告警页面。,让运营能够在系统中完成创建任务、查看任务、审核信息、选择候选内容并查看输出结果，形成可演示的业务闭环。,工作台列表页建设|工作项详情页建设|导出预览页建设|规则与告警页建设|系统配置页建设|前后端联调,前端可用页面|联调版本|页面交互原型|接口联调记录|基础演示流程,M4,真实数据与页面状态复杂|审核流细节未完全定义|配置页能力范围可能扩张,产品+前端,完成后可支持运营侧试用和演示。,5
M6,上架,listing,AI候选生成与人工审核工作流接入,智能化闭环阶段,2026-07-01,2026-08-10,待启动,接入AI预填与多候选生成能力，并支持人工审核选择。,让AI成为上架流程中的辅助生产模块，对核心文本字段给出多个候选，降低人工填写成本，同时保留人工审核决策权。,AI输入上下文定义|候选字段范围定义|Title生成|SEO Title生成|SEO Description生成|Tags生成|人工选择与回填逻辑设计|知识库或skill上下文接入,AI生成方案说明|Prompt或Skill配置|候选生成样例|人工审核交互说明|字段回填逻辑说明,M4|M5,生成内容质量波动|品牌口径不稳定|知识上下文不足导致候选可用率低,产品+AI,AI只做候选生成，不替代人工最终确认。,6
M7,上架,listing,输出联调与业务试运行,智能化闭环阶段,2026-08-11,2026-09-10,待启动,完成五类输出表联调，支持业务侧使用真实样本进行试跑。,验证系统从任务创建到输出表生成的完整链路在真实业务中的可用性，发现字段、规则和流程中的关键问题。,输出表格式确认|shopify_export_preview联调|product_big_table联调|inventory_mapping联调|其他配套表输出确认|真实样本试跑|业务反馈收集,五类输出表样例|试运行记录|问题清单|字段修正建议|流程优化建议,M5|M6,真实业务样本暴露更多边缘情况|输出表字段仍可能增减|业务反馈导致返工,产品+业务+开发,这是项目从系统可用走向业务可用的重要验证节点。,7
M8,上架,listing,Shopify接入与自动导入方案落地,联通与产品化阶段,2026-09-11,2026-10-20,待启动,打通输出结果到Shopify后台的导入链路，实现业务闭环。,让上架系统不只停留在导出表，而是能够真正把整理后的产品信息导入Shopify后台，提升自动化程度。,Shopify导入方式评估|自动导入链路设计|导入接口联调|异常处理设计|导入结果验证|手动与自动方案对比,Shopify接入方案|导入联调记录|试点导入结果|异常处理说明|流程操作手册,M7,Shopify接口限制|权限边界不清|商品对象映射复杂|异常回退策略不完善,产品+开发,该阶段是项目形成真正业务闭环的关键节点。,8
M9,上架,listing,插件化方案评估与原型验证,联通与产品化阶段,2026-10-21,2026-11-25,待启动,评估以插件形式绑定Shopify后台的可行性，并完成原型验证。,探索将当前系统产品化为插件的可能路径，明确哪些能力适合在Shopify内承载，哪些能力仍需保留在外部系统。,插件化目标定义|Shopify App形态评估|权限与边界评估|嵌入式页面方案评估|最小原型验证|产品化收益与成本分析,插件化可行性分析|能力边界说明|原型页面或演示稿|后续产品化建议,M8,插件权限与审核要求复杂|原系统逻辑与插件形态不完全匹配|开发资源投入较大,产品+开发,该里程碑以可行性验证为主，不强求完整插件正式上线。,9
M10,上架,listing,项目试点验收与阶段复盘,联通与产品化阶段,2026-11-26,2026-12-20,待启动,完成项目试点验收，沉淀问题、价值与下一阶段规划。,通过试点结果验证项目价值，评估效率提升、字段复用、自动化程度和业务接受度，并形成下一阶段的建设方向。,试点项目验收|效率评估|问题复盘|风险复盘|业务反馈汇总|下一阶段规划,试点验收报告|复盘报告|价值评估结论|下一阶段路线图|领导汇报材料,M8|M9,试点样本代表性不足|价值评估口径不统一|后续资源争取存在不确定性,产品+业务+管理层,该节点用于年度总结和下一阶段立项准备。,10
